"","states","average_work","average_leisure","average_pcare","average_educ"
"1","Maine",229,307.5,578.5,0
"2","Connecticut",298.727272727273,356,570,0
"3","California",241.801369863014,304.445205479452,594.965753424658,0
"4","Virginia",360.864864864865,273.810810810811,553.243243243243,4.86486486486486
"5","Oregon",300.259259259259,282.148148148148,563.074074074074,0
"6","Minnesota",244.780487804878,351.19512195122,602.487804878049,0
"7","Missouri",292.16,279.2,584.16,0
"8","Arkansas",367,232.363636363636,589.636363636364,0
"9","Nevada",251.0625,344.25,555.75,0
"10","Idaho",372.5,172.5,560.5,0
"11","New York",268.645569620253,296.594936708861,559.746835443038,6.45569620253165
"12","Texas",319.780487804878,263.276422764228,589.49593495935,6.42276422764228
"13","Illinois",317.5,253.032258064516,583.064516129032,15.1451612903226
"14","Washington",300.827586206897,252.896551724138,576.689655172414,0
"15","Kansas",258.571428571429,327.904761904762,623.333333333333,0
"16","Oklahoma",383.375,300.5625,557.5,0
"17","Pennsylvania",299.650793650794,299.031746031746,549.52380952381,3.33333333333333
"18","Kentucky",361.866666666667,279.133333333333,488.133333333333,0
"19","Arizona",311.458333333333,285.208333333333,553.875,0
"20","Florida",196.537313432836,305.850746268657,623.298507462687,1.7910447761194
"21","Ohio",262.851063829787,334.659574468085,581.617021276596,0
"22","Georgia",240.333333333333,252.5,630.633333333333,13.3333333333333
"23","Colorado",277.735294117647,265.588235294118,567.794117647059,0
"24","Massachusetts",370.076923076923,247,520.615384615385,0
"25","North Carolina",271.875,299.09375,587.28125,0
"26","Maryland",406.62962962963,189.222222222222,592.851851851852,0.740740740740741
"27","New Mexico",260.307692307692,239.923076923077,584.307692307692,0
"28","Michigan",253.351351351351,274.702702702703,579.108108108108,10
"29","Wisconsin",328.548387096774,295.935483870968,566.870967741935,0.483870967741935
"30","Vermont",289,300,591.25,0
"31","South Carolina",256.25,335.541666666667,571.916666666667,0
"32","Indiana",293.321428571429,283.607142857143,529.392857142857,0
"33","Louisiana",374.47619047619,231.238095238095,545.809523809524,0
"34","Alabama",202.727272727273,340.681818181818,602.409090909091,0
"35","Montana",270.6,284.8,630,0
"36","Iowa",375.333333333333,213.733333333333,535.266666666667,0
"37","Tennessee",346.117647058824,273.235294117647,509.588235294118,0
"38","New Jersey",237.566666666667,294.633333333333,573.5,0
"39","Hawaii",89,349.6,549.4,0
"40","District of Columbia",186.25,416,623.25,11.25
"41","Delaware",208.8,356.8,614,0
"42","Mississippi",240.4,264.8,705.6,0
"43","West Virginia",257.5,236.2,559.2,0
"44","Utah",412.222222222222,237.888888888889,572,0
"45","Alaska",320,193.333333333333,566.666666666667,0
"46","New Hampshire",334,288,492,0
"47","South Dakota",110,387.428571428571,591.428571428571,0
"48","Nebraska",313.090909090909,282.727272727273,640.909090909091,0
"49","North Dakota",0,497.6,616,0
