Group.1,work,travel,household,pcare,leisure,type
Female,260.6111111,76.52624,114.5248,605.4107744,266.473064,gender
Male,302.2952128,82.34092,80.80823,557.8683511,304.4401596,gender
Full time,294.1522109,80.588,95.034,574.3384354,281.1403061,employment
Part time,212.9764706,74.15708,109.0519,610.0529412,332.9588235,employment
$100k+,289.7195122,87.58279,99.77643,558.5528455,278.0243902,income
$25k-$50k,312.2684729,72.62168,95.766,581.1600985,284.0738916,income
$50k-$75k,288.2112211,80.40241,92.22048,570.640264,283.8712871,income
$75k-$100k,242.1052632,85.81847,105.121,588.2163743,303.2222222,income
Below $25k,251.5863636,67.82586,95.3965595.397,601.3045455,298.3272727,income
Asian only,264.6571429,81.13778,100.12,600.1714286,246.7285714,race
Black only,269.1150442,74.91183,73.42366,600.1150442,307.3672566,race
Mixed/Other,361.7777778,79.4656,97.48078,545.8055556,259.7777778,race
White only,285.7583826,80.12028,100.12,573.8106509,287.1163708,race
